name	file	offset	length	dtype	shape
model.layers.1.self_attn.v_proj.weight	model-00000-of-00002.safetensors	104771432	2949120	BF16	512x2880
model.layers.10.input_layernorm.weight	model-00000-of-00002.safetensors	107720552	5760	BF16	2880
model.layers.10.mlp.experts.down_proj_bias	model-00000-of-00002.safetensors	107726312	184320	BF16	32x2880
model.layers.10.mlp.experts.down_proj_blocks	model-00000-of-00002.safetensors	1408157288	132710400	U8	32x2880x90x16
model.layers.10.mlp.experts.down_proj_scales	model-00000-of-00002.safetensors	1540867688	8294400	U8	32x2880x90
model.layers.10.mlp.experts.gate_up_proj_bias	model-00000-of-00002.safetensors	107910632	368640	BF16	32x5760
model.layers.10.mlp.experts.gate_up_proj_blocks	model-00000-of-00002.safetensors	1549162088	265420800	U8	32x5760x90x16
model.layers.10.mlp.experts.gate_up_proj_scales	model-00000-of-00002.safetensors	1814582888	16588800	U8	32x5760x90
model.layers.10.mlp.router.bias	model-00000-of-00002.safetensors	108279272	64	BF16	32
model.layers.10.mlp.router.weight	model-00000-of-00002.safetensors	108279336	184320	BF16	32x2880
model.layers.10.post_attention_layernorm.weight	model-00000-of-00002.safetensors	108463656	5760	BF16	2880
model.layers.10.self_attn.k_proj.bias	model-00000-of-00002.safetensors	108469416	1024	BF16	512
model.layers.10.self_attn.k_proj.weight	model-00000-of-00002.safetensors	108470440	2949120	BF16	512x2880
model.layers.10.self_attn.o_proj.bias	model-00000-of-00002.safetensors	111419560	5760	BF16	2880
model.layers.10.self_attn.o_proj.weight	model-00000-of-00002.safetensors	111425320	23592960	BF16	2880x4096
model.layers.10.self_attn.q_proj.bias	model-00000-of-00002.safetensors	135018280	8192	BF16	4096
model.layers.10.self_attn.q_proj.weight	model-00000-of-00002.safetensors	135026472	23592960	BF16	4096x2880
model.layers.10.self_attn.sinks	model-00000-of-00002.safetensors	158619432	128	BF16	64
model.layers.10.self_attn.v_proj.bias	model-00000-of-00002.safetensors	158619560	1024	BF16	512
model.layers.10.self_attn.v_proj.weight	model-00000-of-00002.safetensors	158620584	2949120	BF16	512x2880
model.layers.11.input_layernorm.weight	model-00000-of-00002.safetensors	161569704	5760	BF16	2880
model.layers.11.mlp.experts.down_proj_bias	model-00000-of-00002.safetensors	161575464	184320	BF16	32x2880
model.layers.11.mlp.experts.down_proj_blocks	model-00000-of-00002.safetensors	1831171688	132710400	U8	32x2880x90x16
model.layers.11.mlp.experts.down_proj_scales	model-00000-of-00002.safetensors	1963882088	8294400	U8	32x2880x90
model.layers.11.mlp.experts.gate_up_proj_bias	model-00000-of-00002.safetensors	161759784	368640	BF16	32x5760
model.layers.11.mlp.experts.gate_up_proj_blocks	model-00000-of-00002.safetensors	1972176488	265420800	U8	32x5760x90x16
model.layers.11.mlp.experts.gate_up_proj_scales	model-00000-of-00002.safetensors	2237597288	16588800	U8	32x5760x90
model.layers.11.mlp.router.bias	model-00000-of-00002.safetensors	162128424	64	BF16	32
model.layers.11.mlp.router.weight	model-00000-of-00002.safetensors	162128488	184320	BF16	32x2880
model.layers.11.post_attention_layernorm.weight	model-00000-of-00002.safetensors	162312808	5760	BF16	2880
model.layers.11.self_attn.k_proj.bias	model-00000-of-00002.safetensors	162318568	1024	BF16	512
model.layers.11.self_attn.k_proj.weight	model-00000-of-00002.safetensors	162319592	2949120	BF16	512x2880
model.layers.11.self_attn.o_proj.bias	model-00000-of-00002.safetensors	165268712	5760	BF16	2880
model.layers.11.self_attn.o_proj.weight	model-00000-of-00002.safetensors	165274472	23592960	BF16	2880x4096
model.layers.11.self_attn.q_proj.bias	model-00000-of-00002.safetensors	188867432	8192	BF16	4096
model.layers.11.self_attn.q_proj.weight	model-00000-of-00002.safetensors	188875624	23592960	BF16	4096x2880
model.layers.11.self_attn.sinks	model-00000-of-00002.safetensors	212468584	128	BF16	64
model.layers.11.self_attn.v_proj.bias	model-00000-of-00002.safetensors	212468712	1024	BF16	512
model.layers.11.self_attn.v_proj.weight	model-00000-of-00002.safetensors	212469736	2949120	BF16	512x2880
model.layers.12.input_layernorm.weight	model-00000-of-00002.safetensors	215418856	5760	BF16	2880
model.layers.12.mlp.experts.down_proj_bias	model-00000-of-00002.safetensors	215424616	184320	BF16	32x2880
model.layers.12.mlp.experts.down_proj_blocks	model-00000-of-00002.safetensors	2254186088	132710400	U8	32x2880x90x16
model.layers.12.mlp.experts.down_proj_scales	model-00000-of-00002.safetensors	2386896488	8294400	U8	32x2880x90
model.layers.12.mlp.experts.gate_up_proj_bias	model-00000-of-00002.safetensors	215608936	368640	BF16	32x5760
model.layers.12.mlp.experts.gate_up_proj_blocks	model-00000-of-00002.safetensors	2395190888	265420800	U8	32x5760x90x16
model.layers.12.mlp.experts.gate_up_proj_scales	model-00000-of-00002.safetensors	2660611688	16588800	U8	32x5760x90
model.layers.12.mlp.router.bias	model-00000-of-00002.safetensors	215977576	64	BF16	32
model.layers.12.mlp.router.weight	model-00000-of-00002.safetensors	215977640	184320	BF16	32x2880
model.layers.12.post_attention_layernorm.weight	model-00000-of-00002.safetensors	216161960	5760	BF16	2880
model.layers.12.self_attn.k_proj.bias	model-00000-of-00002.safetensors	216167720	1024	BF16	512
model.layers.12.self_attn.k_proj.weight	model-00000-of-00002.safetensors	216168744	2949120	BF16	512x2880
model.layers.12.self_attn.o_proj.bias	model-00000-of-00002.safetensors	219117864	5760	BF16	2880
model.layers.12.self_attn.o_proj.weight	model-00000-of-00002.safetensors	219123624	23592960	BF16	2880x4096
model.layers.12.self_attn.q_proj.bias	model-00000-of-00002.safetensors	242716584	8192	BF16	4096
model.layers.12.self_attn.q_proj.weight	model-00000-of-00002.safetensors	242724776	23592960	BF16	4096x2880
model.layers.12.self_attn.sinks	model-00000-of-00002.safetensors	266317736	128	BF16	64
model.layers.12.self_attn.v_proj.bias	model-00000-of-00002.safetensors	266317864	1024	BF16	512
model.layers.12.self_attn.v_proj.weight	model-00000-of-00002.safetensors	266318888	2949120	BF16	512x2880
model.layers.13.input_layernorm.weight	model-00000-of-00002.safetensors	269268008	5760	BF16	2880
model.layers.13.mlp.experts.down_proj_bias	model-00000-of-00002.safetensors	269273768	184320	BF16	32x2880
model.layers.13.mlp.experts.down_proj_blocks	model-00000-of-00002.safetensors	2677200488	132710400	U8	32x2880x90x16
model.layers.13.mlp.experts.down_proj_scales	model-00000-of-00002.safetensors	2809910888	8294400	U8	32x2880x90
model.layers.13.mlp.experts.gate_up_proj_bias	model-00000-of-00002.safetensors	269458088	368640	BF16	32x5760
model.layers.13.mlp.experts.gate_up_proj_blocks	model-00000-of-00002.safetensors	2818205288	265420800	U8	32x5760x90x16
model.layers.13.mlp.experts.gate_up_proj_scales	model-00000-of-00002.safetensors	3083626088	16588800	U8	32x5760x90
model.layers.13.mlp.router.bias	model-00000-of-00002.safetensors	269826728	64	BF16	32
model.layers.13.mlp.router.weight	model-00000-of-00002.safetensors	269826792	184320	BF16	32x2880
model.layers.13.post_attention_layernorm.weight	model-00000-of-00002.safetensors	270011112	5760	BF16	2880
model.layers.13.self_attn.k_proj.bias	model-00000-of-00002.safetensors	270016872	1024	BF16	512
model.layers.13.self_attn.k_proj.weight	model-00000-of-00002.safetensors	270017896	2949120	BF16	512x2880
model.layers.13.self_attn.o_proj.bias	model-00000-of-00002.safetensors	272967016	5760	BF16	2880
model.layers.13.self_attn.o_proj.weight	model-00000-of-00002.safetensors	272972776	23592960	BF16	2880x4096
model.layers.13.self_attn.q_proj.bias	model-00000-of-00002.safetensors	296565736	8192	BF16	4096
model.layers.13.self_attn.q_proj.weight	model-00000-of-00002.safetensors	296573928	23592960	BF16	4096x2880
model.layers.13.self_attn.sinks	model-00000-of-00002.safetensors	320166888	128	BF16	64
model.layers.13.self_attn.v_proj.bias	model-00000-of-00002.safetensors	320167016	1024	BF16	512
model.layers.13.self_attn.v_proj.weight	model-00000-of-00002.safetensors	320168040	2949120	BF16	512x2880
model.layers.14.input_layernorm.weight	model-00000-of-00002.safetensors	323117160	5760	BF16	2880
model.layers.14.mlp.experts.down_proj_bias	model-00000-of-00002.safetensors	323122920	184320	BF16	32x2880
model.layers.14.mlp.experts.down_proj_blocks	model-00000-of-00002.safetensors	3100214888	132710400	U8	32x2880x90x16
model.layers.14.mlp.experts.down_proj_scales	model-00000-of-00002.safetensors	3232925288	8294400	U8	32x2880x90
model.layers.14.mlp.experts.gate_up_proj_bias	model-00000-of-00002.safetensors	323307240	368640	BF16	32x5760
model.layers.14.mlp.experts.gate_up_proj_blocks	model-00000-of-00002.safetensors	3241219688	265420800	U8	32x5760x90x16
model.layers.14.mlp.experts.gate_up_proj_scales	model-00000-of-00002.safetensors	3506640488	16588800	U8	32x5760x90
model.layers.14.mlp.router.bias	model-00000-of-00002.safetensors	323675880	64	BF16	32
model.layers.14.mlp.router.weight	model-00000-of-00002.safetensors	323675944	184320	BF16	32x2880
model.layers.14.post_attention_layernorm.weight	model-00000-of-00002.safetensors	323860264	5760	BF16	2880
model.layers.14.self_attn.k_proj.bias	model-00000-of-00002.safetensors	323866024	1024	BF16	512
model.layers.14.self_attn.k_proj.weight	model-00000-of-00002.safetensors	323867048	2949120	BF16	512x2880
model.layers.14.self_attn.o_proj.bias	model-00000-of-00002.safetensors	326816168	5760	BF16	2880
model.layers.14.self_attn.o_proj.weight	model-00000-of-00002.safetensors	326821928	23592960	BF16	2880x4096
model.layers.14.self_attn.q_proj.bias	model-00000-of-00002.safetensors	350414888	8192	BF16	4096
model.layers.14.self_attn.q_proj.weight	model-00000-of-00002.safetensors	350423080	23592960	BF16	4096x2880
model.layers.14.self_attn.sinks	model-00000-of-00002.safetensors	374016040	128	BF16	64
model.layers.14.self_attn.v_proj.bias	model-00000-of-00002.safetensors	374016168	1024	BF16	512
model.layers.14.self_attn.v_proj.weight	model-00000-of-00002.safetensors	374017192	2949120	BF16	512x2880
model.layers.15.input_layernorm.weight	model-00000-of-00002.safetensors	376966312	5760	BF16	2880
model.layers.15.mlp.experts.down_proj_bias	model-00000-of-00002.safetensors	376972072	184320	BF16	32x2880
model.layers.15.mlp.experts.down_proj_blocks	model-00000-of-00002.safetensors	3523229288	132710400	U8	32x2880x90x16
model.layers.15.mlp.experts.down_proj_scales	model-00000-of-00002.safetensors	3655939688	8294400	U8	32x2880x90
model.layers.15.mlp.experts.gate_up_proj_bias	model-00000-of-00002.safetensors	377156392	368640	BF16	32x5760
model.layers.15.mlp.experts.gate_up_proj_blocks	model-00000-of-00002.safetensors	3664234088	265420800	U8	32x5760x90x16
model.layers.15.mlp.experts.gate_up_proj_scales	model-00000-of-00002.safetensors	3929654888	16588800	U8	32x5760x90
model.layers.15.mlp.router.bias	model-00000-of-00002.safetensors	377525032	64	BF16	32
model.layers.15.mlp.router.weight	model-00000-of-00002.safetensors	377525096	184320	BF16	32x2880
model.layers.15.post_attention_layernorm.weight	model-00000-of-00002.safetensors	377709416	5760	BF16	2880
model.layers.15.self_attn.k_proj.bias	model-00000-of-00002.safetensors	377715176	1024	BF16	512
model.layers.15.self_attn.k_proj.weight	model-00000-of-00002.safetensors	377716200	2949120	BF16	512x2880
model.layers.15.self_attn.o_proj.bias	model-00000-of-00002.safetensors	380665320	5760	BF16	2880
model.layers.15.self_attn.o_proj.weight	model-00000-of-00002.safetensors	380671080	23592960	BF16	2880x4096
model.layers.15.self_attn.q_proj.bias	model-00000-of-00002.safetensors	404264040	8192	BF16	4096
model.layers.15.self_attn.q_proj.weight	model-00000-of-00002.safetensors	404272232	23592960	BF16	4096x2880
model.layers.15.self_attn.sinks	model-00000-of-00002.safetensors	427865192	128	BF16	64
model.layers.15.self_attn.v_proj.bias	model-00000-of-00002.safetensors	427865320	1024	BF16	512
model.layers.15.self_attn.v_proj.weight	model-00000-of-00002.safetensors	427866344	2949120	BF16	512x2880
model.layers.16.input_layernorm.weight	model-00000-of-00002.safetensors	430815464	5760	BF16	2880
model.layers.16.mlp.experts.down_proj_bias	model-00000-of-00002.safetensors	430821224	184320	BF16	32x2880
model.layers.16.mlp.experts.down_proj_blocks	model-00000-of-00002.safetensors	3946243688	132710400	U8	32x2880x90x16
model.layers.16.mlp.experts.down_proj_scales	model-00000-of-00002.safetensors	4078954088	8294400	U8	32x2880x90
model.layers.16.mlp.experts.gate_up_proj_bias	model-00000-of-00002.safetensors	431005544	368640	BF16	32x5760
model.layers.16.mlp.experts.gate_up_proj_blocks	model-00000-of-00002.safetensors	4087248488	265420800	U8	32x5760x90x16
